url,brand,model,price,image,mileage,fuel_type,gearbox,year
https://www.otomoto.pl/osobowe/oferta/audi-q5-s-line-plus-2-0tdi-177km-s-tronic-quattro-bixenon-led-skora-navi-ID6GBDCQ.html,Audi,Audi Q5 2.0 TDI Quattro S tronic,72 700,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE5OGZqNjcxYm9nODEtT1RPTU9UT1BMIn0.pip1OC8AS_ymlDfTBIi9fdQzkCllYXkPV3lE173RCz8/image;s=320x240,207 608 km,Diesel,Automatyczna,2012
https://www.otomoto.pl/osobowe/oferta/audi-q5-55-tfsie-367-km-s-line-matrix-wentylacja-pakiet-czern-ID6GAU64.html,Audi,Audi Q5,229 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRrcWpsa2QyMjY0ajItT1RPTU9UT1BMIn0.679H6hxxJFcDzcgL5EFSQDXkpE8p9GxRHQY5nIJdo3U/image;s=644x461,74 690 km,Hybryda Plug-in,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a1-audi-a1-bezwypadkowe-sprzedam-ID6GATOr.html,Audi,Audi A1 30 TFSI S tronic,82 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImMxaHdlbHQ4bjA2ZC1PVE9NT1RPUEwifQ.lN3eQVp3fc1_z4r8Fz236exMTNw31P-dCWez9h8UK3A/image;s=320x240,74 425 km,Benzyna,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a4-audi-a4-b8-2012-rok-ID6GoZaW.html,Audi,Audi A4 2.0 TDI 116g,39 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQxanRqcTRhMmJsbjMtT1RPTU9UT1BMIn0.Et1XqXwOgWco4xm3NtOW1i1SH-bovFm1ZlNZJYZb_oE/image;s=320x240,237 500 km,Diesel,Manualna,2012
https://www.otomoto.pl/osobowe/oferta/audi-rs-e-tron-gt-rs-e-tron-gt-alu21masazpneumatykamatrixledheadupgwarancjafv23-ID6GelVs.html,Audi,Audi RS e-tron GT,429 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjgzZDBqNmwxeXpsMjEtT1RPTU9UT1BMIn0.qrnKIViBZaStucZKi319QLiDQ7M3c1ol100YVj7Zwsg/image;s=644x461,17 000 km,Elektryczny,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-q5-2-0tfsi-265km-klima-s-line-quattro-2015-rok-ID6GBmLs.html,Audi,Audi Q5 2.0 TFSI quattro tiptronic,16 500,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJzczQ2YmQwenNhMTMtT1RPTU9UT1BMIn0.A0h5_9XbtInkoo4tykOQWEnJ3RX2CVrFF0usubHAGsY/image;s=320x240,290 000 km,Benzyna,Automatyczna,2015
https://www.otomoto.pl/osobowe/oferta/audi-q7-salon-polskabez-wkladu-serwis-aso-panorama-el-hak-ID6Guxlr.html,Audi,Audi Q7 3.0 TDI Quattro Tiptronic,46 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlzZ2x2ZzQ2aG5lby1PVE9NT1RPUEwifQ.MIZBN5VKDtO9kAfqANjKxHLftqlhmUCLx2xwEl8hUGY/image;s=320x240,208 900 km,Diesel,Automatyczna,2006
https://www.otomoto.pl/osobowe/oferta/audi-q5-2-0-40-tdi-quattro-s-line-204km-bang-olufsen-hak-holowniczy-ID6GA9WP.html,Audi,Audi Q5,255 300,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpzN3N1ZWo3ZGl4YzItT1RPTU9UT1BMIn0.JCE1UEbI3WId2UvKalnYSYqur7fwMLIvR9hC3JDLsvk/image;s=644x461,1 km,Diesel,Automatyczna,2024
https://www.otomoto.pl/osobowe/oferta/audi-a3-audi-a3-sportback-1-6-tdi-6-biegow-ID6GuiHG.html,Audi,Audi A3 1.6 TDI Sportback DPF Ambiente,39 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ink0d3JtcmVrNWJvNDEtT1RPTU9UT1BMIn0.a8uYEyoQEKiX6e5yCryxjDRlILHx2TzdKttVi15cAXA/image;s=320x240,207 000 km,Diesel,Manualna,2013
https://www.otomoto.pl/osobowe/oferta/audi-q3-sportback-1-5-35-tfsi-s-line-sportback-150km-kamery-otoczenia-sound-system-ID6GATQY.html,Audi,Audi Q3 Sportback,200 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZ5MG83MTJ2cGVsOTEtT1RPTU9UT1BMIn0.WRdLECJgRgTYqB-WvQXk_rHSYQKK50SFo1P60BHlkHs/image;s=644x461,1 km,Benzyna,Automatyczna,2024
https://www.otomoto.pl/osobowe/oferta/audi-a4-40-tdi-sport-187-km-automat-vat-23-navi-klimatronic-tempomat-ID6GA9Qj.html,Audi,Audi A4,103 001,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InkwamJjNzR0MzkxazItT1RPTU9UT1BMIn0.k7-Eu2CrLUpMeSRcGpG-jUoujneh4S5r9AhnTEcx8U8/image;s=320x240,149 030 km,Diesel,Automatyczna,2020
https://www.otomoto.pl/osobowe/oferta/audi-a4-audi-a4-b7-ID6Gq51P.html,Audi,Audi A4 Avant 2.0 TDI,16 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY2bm96cms4anI2cjMtT1RPTU9UT1BMIn0.EYPme1pae3C0_f89L1Mkz1Qo6dM8puu4uemuedByRkk/image;s=320x240,343 215 km,Diesel,Manualna,2006
